primary_station_id_3,region,sub_region,report_type,height_of_station_above_sea_level,station_name
AAI0000TNCA-223-2,14,4,4,18,REINA BEATRIX INTL 78982
AAI0000TNCA-223-3,14,4,4,18,REINA BEATRIX INTL 78982
AAI0000TNCA-223-4,14,4,4,18,REINA BEATRIX INTL 78982
AAI0000TNCA-223-5,14,4,4,18,REINA BEATRIX INTL 78982
AAI0000TNCA-223-6,14,4,4,18,REINA BEATRIX INTL 78982
AAI0000TNCA-223-7,14,4,4,18,REINA BEATRIX INTL 78982
AAI0000TNCA-223-8,14,4,4,18,REINA BEATRIX INTL 78982
AAI0000TNCA-223-9,14,4,4,18,REINA BEATRIX INTL 78982
AAI0000TNCA-223-10,14,4,0,18,REINA BEATRIX INTL 78982
AAI0000TNCA-245-1,14,4,0,18,REINA BEATRIX INTL 78982
AAI0000TNCA-286-11,14,4,0,18,REINA BEATRIX INTL 78982
ACM00078861-220-2,3,4,0,10,COOLIDGE FIELD ANTIGUA (AUX 78861
ACM00078861-220-3,3,4,0,10,COOLIDGE FIELD ANTIGUA (AUX 78861
ACM00078861-220-4,3,4,0,10,COOLIDGE FIELD ANTIGUA (AUX 78861
ACM00078861-220-5,3,4,0,10,COOLIDGE FIELD ANTIGUA (AUX 78861
ACCM00BARA9-222-1,3,4,0,5,BARBUDA
ACCM00BARA9-222-2,3,4,0,5,BARBUDA
ACI0000TAPA-223-2,3,4,4,19,V C BIRD INTL 78862
ACI0000TAPA-223-3,3,4,4,19,V C BIRD INTL 78862
ACI0000TAPA-223-4,3,4,4,19,V C BIRD INTL 78862
ACI0000TAPA-223-5,3,4,4,19,V C BIRD INTL 78862
ACI0000TAPA-223-6,3,4,4,19,V C BIRD INTL 78862
ACI0000TAPA-223-7,3,4,4,19,V C BIRD INTL 78862
ACI0000TAPA-223-8,3,4,4,19,V C BIRD INTL 78862
ACI0000TAPA-223-9,3,4,4,19,V C BIRD INTL 78862
ACI0000TAPA-223-10,3,4,4,19,V C BIRD INTL 78862
ACI0000TAPA-223-11,3,4,4,19,V C BIRD INTL 78862
ACI0000TAPA-223-12,3,4,4,19,V C BIRD INTL 78862
ACI0000TAPA-223-13,3,4,4,19,V C BIRD INTL 78862
ACI0000TAPA-223-14,3,4,4,19,V C BIRD INTL 78862
ACI0000TAPA-223-15,3,4,0,19,V C BIRD INTL 78862
ACM00078861-260-1,3,4,0,10,COOLIDGE FIELD ANTIGUA (AUX 78861
ACUantigua--260-1,3,4,0,37,ANTIGUA
ACI0000TAPA-335-1,3,4,0,19,V C BIRD INTL 78862
AEM00040449-220-1,1,2,0,5,ASH SHARIQAH SW
AEM00040449-220-2,1,2,0,5,ASH SHARIQAH SW
AEM00041226-220-1,1,2,0,130,MEDINA ZAYED 41226
AEI0000OMAA-223-1,1,2,4,27,ABU DHABI INTL 41217
AEI0000OMAA-223-2,1,2,4,27,ABU DHABI INTL 41217
AEI0000OMAA-223-3,1,2,4,27,ABU DHABI INTL 41217
AEI0000OMAA-223-4,1,2,0,27,ABU DHABI INTL 41217
AEI0000OMAA-223-5,1,2,4,27,ABU DHABI INTL 41217
AEI0000OMAA-223-6,1,2,4,27,ABU DHABI INTL 41217
AEI0000OMAA-223-7,1,2,4,27,ABU DHABI INTL 41217
AEI0000OMAA-223-8,1,2,4,27,ABU DHABI INTL 41217
AEI0000OMAB-223-1,1,2,4,94,BUHASA
AEI0000OMAB-223-2,1,2,4,94,BUHASA
AEI0000OMAB-223-3,1,2,4,94,BUHASA
AEI0000OMAD-223-1,1,2,4,5,BATEEN 41216
AEI0000OMAD-223-2,1,2,4,5,BATEEN 41216
AEI0000OMAD-223-3,1,2,4,5,BATEEN 41216
AEI0000OMAD-223-4,1,2,4,5,BATEEN 41216
AEI0000OMAD-223-5,1,2,4,5,BATEEN 41216
AEI0000OMAD-223-6,1,2,4,5,BATEEN 41216
AEI0000OMAD-223-7,1,2,4,5,BATEEN 41216
AEI0000OMAD-223-8,1,2,4,5,BATEEN 41216
AEI0000OMAD-223-9,1,2,4,5,BATEEN 41216
AEI0000OMAH-223-1,1,2,4,15,AL HAMRA AUX
AEI0000OMAH-223-2,1,2,4,15,AL HAMRA AUX
AEI0000OMAL-223-1,1,2,4,265,AL AIN INTL 41218
AEI0000OMAL-223-2,1,2,4,265,AL AIN INTL 41218
AEI0000OMAL-223-3,1,2,4,265,AL AIN INTL 41218
AEI0000OMAL-223-4,1,2,4,265,AL AIN INTL 41218
AEI0000OMAL-223-5,1,2,4,265,AL AIN INTL 41218
AEI0000OMAL-223-6,1,2,4,265,AL AIN INTL 41218
AEI0000OMAL-223-7,1,2,4,265,AL AIN INTL 41218
AEI0000OMAL-223-8,1,2,4,265,AL AIN INTL 41218
AEI0000OMAL-223-9,1,2,4,265,AL AIN INTL 41218
AEI0000OMAL-223-10,1,2,4,265,AL AIN INTL 41218
AEI0000OMAM-223-1,1,2,4,23,AL DHAFRA
AEI0000OMAM-223-2,1,2,4,23,AL DHAFRA
AEI0000OMDB-223-3,1,2,4,10,DUBAI INTL 41194
AEI0000OMDB-223-4,1,2,4,10,DUBAI INTL 41194
AEI0000OMDB-223-5,1,2,4,10,DUBAI INTL 41194
AEI0000OMDB-223-6,1,2,4,10,DUBAI INTL 41194
AEI0000OMDB-223-7,1,2,4,10,DUBAI INTL 41194
AEI0000OMDB-223-8,1,2,4,10,DUBAI INTL 41194
AEI0000OMDB-223-9,1,2,0,10,DUBAI INTL 41194
AEI0000OMDB-223-10,1,2,4,10,DUBAI INTL 41194
AEI0000OMDB-223-11,1,2,4,10,DUBAI INTL 41194
AEI0000OMDB-223-12,1,2,4,10,DUBAI INTL 41194
AEI0000OMDB-223-13,1,2,4,10,DUBAI INTL 41194
AEI0000OMDB-223-14,1,2,4,10,DUBAI INTL 41194
AEI0000OMDB-223-15,1,2,4,10,DUBAI INTL 41194
AEI0000OMDB-223-16,1,2,0,10,DUBAI INTL 41194
AEI0000OMDL-223-1,0,2,4,25,DELMA
AEI0000OMDL-223-2,0,2,4,25,DELMA
AEI0000OMDL-223-3,0,2,4,25,DELMA
AEI0000OMDM-223-1,1,2,4,50,DUBAI MINHAD AB
AEI0000OMDM-223-2,1,2,4,50,DUBAI MINHAD AB
AEI0000OMFJ-223-1,1,2,4,46,FUJAIRAH INTL 41198
AEI0000OMFJ-223-2,1,2,4,46,FUJAIRAH INTL 41198
AEI0000OMFJ-223-3,1,2,4,46,FUJAIRAH INTL 41198
AEI0000OMFJ-223-4,1,2,4,46,FUJAIRAH INTL 41198
AEI0000OMFJ-223-5,1,2,4,46,FUJAIRAH INTL 41198
AEI0000OMFJ-223-6,1,2,4,46,FUJAIRAH INTL 41198
AEI0000OMFJ-223-7,1,2,4,46,FUJAIRAH INTL 41198
AEI0000OMSJ-223-1,1,2,4,34,SHARJAH INTL 41196
AEI0000OMSJ-223-2,1,2,4,34,SHARJAH INTL 41196
AEI0000OMSJ-223-3,1,2,4,34,SHARJAH INTL 41196
AEI0000OMSJ-223-4,1,2,4,34,SHARJAH INTL 41196
AEI0000OMSJ-223-5,1,2,4,34,SHARJAH INTL 41196
AEI0000OMSJ-223-6,1,2,0,34,SHARJAH INTL 41196
AEI0000OMSJ-223-7,1,2,4,34,SHARJAH INTL 41196
AEI0000OMSJ-223-8,1,2,4,34,SHARJAH INTL 41196
AEI0000OMSJ-223-9,1,2,4,34,SHARJAH INTL 41196
AEI0000OMSJ-223-10,1,2,4,34,SHARJAH INTL 41196
AEI0000OMSJ-223-11,1,2,4,34,SHARJAH INTL 41196
AEI0000OMSJ-223-12,1,2,4,34,SHARJAH INTL 41196
AEI0000OMSN-223-1,0,2,4,7,SIR ABU NAIR
AEI0000OMSN-223-2,0,2,4,7,SIR ABU NAIR
AEI0000OMAJ-223-1,1,2,4,13,JEBEL DHANA
AEI0000OMAS-223-1,0,2,4,4,DAS ISLAND
AEI0000OMAZ-223-1,0,2,4,4,ZIRKU
AEI0000OMLW-223-1,1,2,4,115,LIWA AB
AEI0000OMDB-245-1,1,2,0,10,DUBAI INTL 41194
AEI0000OMDB-245-2,1,2,0,10,DUBAI INTL 41194
AEI0000OMAA-286-9,1,2,0,27,ABU DHABI INTL 41217
AEI0000OMAL-286-11,1,2,0,265,AL AIN INTL 41218
AEI0000OMDB-286-17,1,2,0,10,DUBAI INTL 41194
AEI0000OMFJ-286-8,1,2,0,46,FUJAIRAH INTL 41198
AEI0000OMSJ-286-13,1,2,0,34,SHARJAH INTL 41196
AEU038328-1-286-1,124,2,0,604,SHYMKENT
AFM00038930-220-2,2,2,0,319,AJVADZ
AFM00038930-220-3,2,2,0,319,AJVADZ
AFM00040908-220-1,2,2,0,360,SHEBIRGHAN 40908
AFM00040908-220-2,2,2,0,360,SHEBIRGHAN 40908
AFM00040908-220-3,2,2,0,360,SHEBIRGHAN 40908
AFM00040913-220-1,2,2,0,433,KUNDUZ 40913
AFM00040913-220-2,2,2,0,433,KUNDUZ 40913
AFM00040913-220-3,2,2,0,433,KUNDUZ 40913
AFM00040913-220-4,2,2,0,433,KUNDUZ 40913
AFM00040913-220-5,2,2,0,433,KUNDUZ 40913
AFM00040913-220-6,2,2,0,433,KUNDUZ 40913
AFM00040913-220-7,2,2,0,433,KUNDUZ 40913
AFM00040916-220-1,2,2,0,300,HAIRATAN 40916
AFM00040916-220-2,2,2,0,300,HAIRATAN 40916
AFM00040916-220-3,2,2,0,300,HAIRATAN 40916
AFM00040921-220-1,220,2,0,680,TURGHUNDI 40921
AFM00040921-220-2,220,2,0,680,TURGHUNDI 40921
AFM00040922-220-1,2,2,0,815,MIMANA 40922
AFM00040922-220-2,2,2,0,815,MIMANA 40922
AFM00040922-220-3,2,2,0,815,MIMANA 40922
AFM00040922-220-4,2,2,0,815,MIMANA 40922
AFM00040922-220-5,2,2,0,815,MIMANA 40922
AFM00040922-220-6,2,2,0,815,MIMANA 40922
AFM00040922-220-7,2,2,0,815,MIMANA 40922
AFM00040923-220-1,2,2,0,470,BALA-MOORGHAB 40923
AFM00040923-220-2,2,2,0,470,BALA-MOORGHAB 40923
AFM00040923-220-3,2,2,0,470,BALA-MOORGHAB 40923
AFM00040925-220-2,2,2,0,1300,QAISAR 40925
AFM00040930-220-2,2,2,0,3366,NORTH-SALANG 40930
AFM00040930-220-3,2,2,0,3366,NORTH-SALANG 40930
AFM00040930-220-4,2,2,0,3366,NORTH-SALANG 40930
AFM00040930-220-5,2,2,0,3366,NORTH-SALANG 40930
AFM00040931-220-1,2,2,0,3172,SOUTH-SALANG 40931
AFM00040931-220-2,2,2,0,3172,SOUTH-SALANG 40931
AFM00040935-220-1,2,2,0,800,ISLAM-QALA 40935
AFM00040935-220-2,2,2,0,800,ISLAM-QALA 40935
AFM00040935-220-3,2,2,0,800,ISLAM-QALA 40935
AFM00040940-220-1,2,2,0,1298,OBE 40940
AFM00040940-220-2,2,2,0,1298,OBE 40940
AFM00040949-220-2,2,2,0,1905,KARIZIMIR 40949
AFM00040950-220-2,2,2,0,1935,LOGAR 40950
AFM00040950-220-3,2,2,0,1935,LOGAR 40950
AFM00040950-220-4,2,2,0,1935,LOGAR 40950
AFM00040976-220-1,2,2,0,1000,KAJAKI 40976
AFM00040976-220-2,2,2,0,1000,KAJAKI 40976
AFM00040977-220-1,2,2,0,1350,TIRIN KOT 40977
AFM00040977-220-2,2,2,0,1350,TIRIN KOT 40977
AFM00040977-220-3,2,2,0,1350,TIRIN KOT 40977
AFM00040977-220-4,2,2,0,1350,TIRIN KOT 40977
AFM00040977-220-5,2,2,0,1350,TIRIN KOT 40977
AFM00040977-220-6,2,2,0,1350,TIRIN KOT 40977
AFM00040977-220-7,2,2,0,1350,TIRIN KOT 40977
AFM00040977-220-8,2,2,0,1350,TIRIN KOT 40977
AFM00040977-220-9,2,2,0,1350,TIRIN KOT 40977
AFM00040980-220-1,2,2,0,2000,MOKUR 40980
AFM00040980-220-2,2,2,0,2000,MOKUR 40980
AFM00040980-220-3,2,2,0,2000,MOKUR 40980
AFM00040980-220-4,2,2,0,2000,MOKUR 40980
AFM00040984-220-1,2,2,0,2262,URGOON 40984
AFM00040984-220-2,2,2,0,2262,URGOON 40984
AFM00040984-220-3,2,2,0,2262,URGOON 40984
AFM00040984-220-4,2,2,0,2262,URGOON 40984
AFM00040984-220-5,2,2,0,2262,URGOON 40984
AFM00040984-220-6,2,2,0,2262,URGOON 40984
AFM00040984-220-7,2,2,0,2262,URGOON 40984
AFM00040984-220-8,2,2,0,2262,URGOON 40984
AFM00040984-220-9,2,2,0,2262,URGOON 40984
AFM00040984-220-10,2,2,0,2262,URGOON 40984
AFM00040984-220-11,2,2,0,2262,URGOON 40984
AFM00040984-220-12,2,2,0,2262,URGOON 40984
AFM00040984-220-13,2,2,0,2262,URGOON 40984
AFM00040984-220-14,2,2,0,2262,URGOON 40984
AFM00040984-220-15,2,2,0,2262,URGOON 40984
AFM00040984-220-16,2,2,0,2262,URGOON 40984
AFM00040984-220-17,2,2,0,2262,URGOON 40984
AFM00040984-220-18,2,2,0,2262,URGOON 40984
AFM00040984-220-19,2,2,0,2262,URGOON 40984
AFM00040984-220-20,2,2,0,2262,URGOON 40984
AFM00040984-220-21,2,2,0,2262,URGOON 40984
AFM00040984-220-22,2,2,0,2262,URGOON 40984
AFM00040996-220-1,2,2,0,590,DESHOO 40996
AFM00040996-220-2,2,2,0,590,DESHOO 40996
AFM00040996-220-3,2,2,0,590,DESHOO 40996
AFM00040903-220-1,2,2,0,480,KHWAJA-GHAR 40903
AFM00040905-220-1,217,2,0,2265,SHIGHNAN 40905
AFA00409133-221-1,2,2,0,448,FOB KUNDUZ
AFA00409133-221-2,2,2,0,448,FOB KUNDUZ
AFA00409133-221-3,2,2,0,448,FOB KUNDUZ
AFA00409133-221-4,2,2,0,448,FOB KUNDUZ
AFA00409133-221-5,2,2,0,448,FOB KUNDUZ
AFA00409133-221-6,2,2,0,448,FOB KUNDUZ
AFA00409133-221-7,2,2,0,448,FOB KUNDUZ
AFA00409133-221-8,2,2,0,448,FOB KUNDUZ
AFA00409323-221-1,2,2,0,1945,PANJSHIR
AFA00409323-221-2,2,2,0,1945,PANJSHIR
AFA00409343-221-1,2,2,0,1042,FOB BOSTIC
AFA00409343-221-2,2,2,0,1042,FOB BOSTIC
AFA00409343-221-3,2,2,0,1042,FOB BOSTIC
AFA00409343-221-4,2,2,0,1042,FOB BOSTIC
AFA00409390-221-1,2,2,0,1280,QADES
AFA00409390-221-2,2,2,0,1280,QADES
AFA00409473-221-1,2,2,0,2240,CAMP AIRBORNE HLZ
AFA00409473-221-2,2,2,0,2240,CAMP AIRBORNE HLZ
AFA00409473-221-3,2,2,0,2240,CAMP AIRBORNE HLZ
AFA00409473-221-4,2,2,0,2240,CAMP AIRBORNE HLZ
AFA00409543-221-1,2,2,0,1215,FOB CONNOLLY
AFA00409543-221-2,2,2,0,1215,FOB CONNOLLY
AFA00409543-221-3,2,2,0,1215,FOB CONNOLLY
AFA00409543-221-4,2,2,0,1215,FOB CONNOLLY
AFA00409585-221-1,2,2,0,1020,CAMP BLESSING-NANGA
AFA00409585-221-2,2,2,0,1020,CAMP BLESSING-NANGA
AFA00409585-221-3,2,2,0,1020,CAMP BLESSING-NANGA
AFA00409705-221-1,2,2,0,2020,COP WILDERNESS
AFA00409705-221-2,2,2,0,2020,COP WILDERNESS
AFA00409705-221-3,2,2,0,2020,COP WILDERNESS
AFA00409705-221-4,2,2,0,2020,COP WILDERNESS
AFA00409706-221-1,2,2,0,1952,FOB CHAMKANI
AFA00409706-221-2,2,2,0,1952,FOB CHAMKANI
AFA00409707-221-1,2,2,0,2404,CARWILE
AFA00409707-221-2,2,2,0,2404,CARWILE
AFA00409713-221-1,2,2,0,1383,FOB CLARK
AFA00409713-221-2,2,2,0,1383,FOB CLARK
AFA00409713-221-3,2,2,0,1383,FOB CLARK
AFA00409731-221-1,2,2,0,724,BACKWA
AFA00409731-221-2,2,2,0,724,BACKWA
AFA00409739-221-1,2,2,0,840,DELARAM
AFA00409739-221-2,2,2,0,840,DELARAM
AFA00409763-221-1,2,2,0,916,SAKARI KAREZ
AFA00409763-221-2,2,2,0,916,SAKARI KAREZ
AFA00409765-221-1,2,2,0,1110,FOB EDINBURGH
AFA00409765-221-2,2,2,0,1110,FOB EDINBURGH
AFA00409775-221-1,2,2,0,1262,FOB TINSLEY
AFA00409775-221-2,2,2,0,1262,FOB TINSLEY
AFA00409781-221-2,2,2,0,787,LASHKARGAH
AFA00409793-221-1,2,2,0,1902,FOB WOLVERINE
AFA00409793-221-2,2,2,0,1902,FOB WOLVERINE
AFA00409793-221-3,2,2,0,1902,FOB WOLVERINE
AFA00409794-221-1,2,2,0,1250,FOB VIPER
AFA00409794-221-2,2,2,0,1250,FOB VIPER
AFA00409794-221-3,2,2,0,1250,FOB VIPER
AFA00409803-221-1,2,2,0,2126,COP ARYAN
AFA00409803-221-2,2,2,0,2126,COP ARYAN
AFA00409803-221-3,2,2,0,2126,COP ARYAN
AFA00409803-221-4,2,2,0,2126,COP ARYAN
AFA00409813-221-1,2,2,0,2002,FOB KUSAHMOND
AFA00409813-221-2,2,2,0,2002,FOB KUSAHMOND
AFA00409814-221-1,2,2,0,2141,SUPER FOB
AFA00409814-221-2,2,2,0,2141,SUPER FOB
AFA00409814-221-3,2,2,0,2141,SUPER FOB
AFA00409814-221-4,2,2,0,2141,SUPER FOB
AFA00409843-221-1,2,2,0,2132,COP SPERA
AFA00409843-221-2,2,2,0,2132,COP SPERA
AFA00409844-221-1,2,2,0,1814,FOB TILLMAN
AFA00409844-221-2,2,2,0,1814,FOB TILLMAN
AFA00409903-221-1,2,2,0,1137,FOB FRONTENAC
AFA00409903-221-2,2,2,0,1137,FOB FRONTENAC
AFA00409903-221-3,2,2,0,1137,FOB FRONTENAC
AFA00409903-221-4,2,2,0,1137,FOB FRONTENAC
AFA00409903-221-5,2,2,0,1137,FOB FRONTENAC
AFA00409904-221-1,2,2,0,1191,FOB SPIN BULDAK
AFA00409904-221-2,2,2,0,1191,FOB SPIN BULDAK
AFA00409904-221-3,2,2,0,1191,FOB SPIN BULDAK
AFA00409904-221-4,2,2,0,1191,FOB SPIN BULDAK
AFA00409904-221-5,2,2,0,1191,FOB SPIN BULDAK
AFA00409905-221-1,2,2,0,962,FOB PASAB/WILSON
AFA00409905-221-2,2,2,0,962,FOB PASAB/WILSON
AFA00409905-221-3,2,2,0,962,FOB PASAB/WILSON
AFA00409905-221-4,2,2,0,962,FOB PASAB/WILSON
AFA00409905-221-5,2,2,0,962,FOB PASAB/WILSON
AFA00409905-221-6,2,2,0,962,FOB PASAB/WILSON
AFA00409120-221-1,2,2,0,900,AIBACK
AFA00409151-221-1,2,2,0,804,TALOQAN
AFA00409240-221-1,2,2,0,304,KALDAR
AFA00409584-221-1,0,6,0,892,COP HONAKER-MIRACLE
AFA00409661-221-1,2,2,0,3130,OKAK
AFA00409774-221-1,2,2,0,1110,HADRIAN
AFA00409906-221-1,2,2,0,1219,LITTLE BLUE
AFA00409951-221-1,2,2,0,550,CHAR-BURJACK
AFI0000OABD-223-1,2,2,4,2975,BEHSOOD
AFI0000OABD-223-2,2,2,4,2975,BEHSOOD
AFI0000OABG-223-1,2,2,4,550,BAGHLAN-FARM 40914
AFI0000OABG-223-2,2,2,4,550,BAGHLAN-FARM 40914
AFI0000OABG-223-3,2,2,4,550,BAGHLAN-FARM 40914
AFI0000OAEM-223-1,2,2,4,2620,ISKACHEM / ESHKASHEM 40918
AFI0000OAEM-223-2,2,2,4,2620,ISKACHEM / ESHKASHEM 40918
AFI0000OAFR-223-1,2,2,4,700,FARAH 40974
AFI0000OAFR-223-2,2,2,4,700,FARAH 40974
AFI0000OAFR-223-3,2,2,4,700,FARAH 40974
AFI0000OAFR-223-4,2,2,4,700,FARAH 40974
AFI0000OAFR-223-5,2,2,4,700,FARAH 40974
AFI0000OAFR-223-6,2,2,4,700,FARAH 40974
AFI0000OAFR-223-7,2,2,4,700,FARAH 40974
AFI0000OAFR-223-8,2,2,4,700,FARAH 40974
AFI0000OAFR-223-9,2,2,4,700,FARAH 40974
AFI0000OAFR-223-10,2,2,4,700,FARAH 40974
AFI0000OAFR-223-11,2,2,4,700,FARAH 40974
AFI0000OAFZ-223-1,2,2,4,1200,FAIZABAD
AFI0000OAFZ-223-2,2,2,4,1200,FAIZABAD
AFI0000OAFZ-223-3,2,2,4,1200,FAIZABAD
AFI0000OAFZ-223-4,2,2,4,1200,FAIZABAD
AFI0000OAFZ-223-5,2,2,4,1200,FAIZABAD
AFI0000OAFZ-223-6,2,2,4,1200,FAIZABAD
AFI0000OAFZ-223-7,2,2,4,1200,FAIZABAD
AFI0000OAHR-223-1,2,2,4,977,HERAT 40938
AFI0000OAHR-223-2,2,2,4,977,HERAT 40938
AFI0000OAHR-223-3,2,2,4,977,HERAT 40938
AFI0000OAHR-223-4,2,2,4,977,HERAT 40938
AFI0000OAHR-223-5,2,2,4,977,HERAT 40938
AFI0000OAHR-223-6,2,2,4,977,HERAT 40938
AFI0000OAHR-223-7,2,2,4,977,HERAT 40938
AFI0000OAHR-223-8,2,2,4,977,HERAT 40938
AFI0000OAIX-223-1,2,2,4,1484,BAGRAM
AFI0000OAIX-223-2,2,2,4,1484,BAGRAM
AFI0000OAIX-223-3,2,2,4,1484,BAGRAM
AFI0000OAIX-223-4,2,2,4,1484,BAGRAM
AFI0000OAJL-223-1,2,2,4,567,JALALABAD 40954
AFI0000OAJL-223-2,2,2,4,567,JALALABAD 40954
AFI0000OAJL-223-3,2,2,4,567,JALALABAD 40954
AFI0000OAJS-223-1,2,2,4,1630,JABUL-SARAJ 40932
AFI0000OAJS-223-2,2,2,4,1630,JABUL-SARAJ 40932
AFI0000OAJS-223-3,2,2,4,1630,JABUL-SARAJ 40932
AFI0000OALN-223-1,2,2,4,770,LAGHMAN 40952
AFI0000OALN-223-2,2,2,4,770,LAGHMAN 40952
AFI0000OALN-223-3,2,2,4,770,LAGHMAN 40952
AFI0000OALN-223-4,2,2,4,770,LAGHMAN 40952
AFI0000OALN-223-5,2,2,4,770,LAGHMAN 40952
AFI0000OALN-223-6,2,2,4,770,LAGHMAN 40952
AFI0000OAMS-223-2,2,2,4,391,MAZAR I SHARIF 40911
AFI0000OAMS-223-3,2,2,4,391,MAZAR I SHARIF 40911
AFI0000OAMS-223-4,2,2,4,391,MAZAR I SHARIF 40911
AFI0000OAMS-223-5,2,2,4,391,MAZAR I SHARIF 40911
AFI0000OAMS-223-6,2,2,0,391,MAZAR I SHARIF 40911
AFI0000OAPG-223-2,2,2,0,2114,PAGHMAN 40947
AFI0000OAQN-223-1,2,2,4,914,QALA-I-NOW 40937
AFI0000OAQN-223-2,2,2,4,914,QALA-I-NOW 40937
AFI0000OAQN-223-3,2,2,4,914,QALA-I-NOW 40937
AFI0000OAQN-223-4,2,2,4,914,QALA-I-NOW 40937
AFI0000OAQN-223-5,2,2,4,914,QALA-I-NOW 40937
AFI0000OAQN-223-6,2,2,4,914,QALA-I-NOW 40937
AFI0000OASB-223-1,2,2,4,1020,SAROBI 40951
AFI0000OASB-223-2,2,2,4,1020,SAROBI 40951
AFI0000OASD-223-1,2,2,4,1150,SHINDAND 40957
AFI0000OASD-223-2,2,2,4,1150,SHINDAND 40957
AFI0000OASD-223-3,2,2,4,1150,SHINDAND 40957
AFI0000OASD-223-4,2,2,4,1150,SHINDAND 40957
AFI0000OASD-223-5,2,2,4,1150,SHINDAND 40957
AFI0000OASD-223-6,2,2,4,1150,SHINDAND 40957
AFI0000OADF-223-1,2,2,4,1350,DARI-SUF
AFI0000OADZ-223-1,2,2,4,1320,DARWAZ
AFI0000OAGA-223-1,2,2,4,510,GHAZIABAD 40953
AFI0000OAGL-223-1,2,2,4,1375,GULISTAN 40975
AFI0000OAHJ-223-1,2,2,4,3400,HAJIGAK 40933
AFI0000OAPJ-223-1,2,2,4,2710,PAN JAO 40946
AFA00409781-245-1,2,2,0,787,LASHKARGAH
AFI0000OAMS-245-1,2,2,0,391,MAZAR I SHARIF 40911
AFI0000OAPG-245-1,2,2,0,2114,PAGHMAN 40947
AFM00038957-245-2,2,2,0,1203,FAIZABAD USSR 03895
AFM00040925-245-1,2,2,0,1300,QAISAR 40925
AFM00040930-245-1,2,2,0,3366,NORTH-SALANG 40930
AFM00040949-245-1,2,2,0,1905,KARIZIMIR 40949
AFM00040950-245-1,2,2,0,1935,LOGAR 40950
AFM00040924-245-1,2,2,0,510,BAGHLAN AFGHANISTAN 04092
AFM00040941-245-1,2,2,0,2080,GHELMIN AFGHANISTAN 04094
AFM00040948-245-1,2,2,0,1803,KABUL AFGHANISTAN APT 04094
AFM00040981-245-1,2,2,0,1005,KANDAHAR AFGHANISTAN 04098
AFM00038930-248-1,2,2,0,319,AJVADZ
AFM00038957-248-1,2,2,0,1203,FAIZABAD USSR 03895
AFM00038946-248-1,217,2,0,1283,IOL
AFU035037-1-286-1,190,2,0,341,AKJAR
AFU038002-1-286-1,124,2,0,-1,TUSCIKUDUK
AFU038008-1-286-1,124,2,0,240,TUSHCHIBEK
AFU038044-1-286-1,124,2,0,55,UJALY
AGM00060357-88-3,0,1,0,156,ANNABA NORTH 60357
AGM00060367-88-4,61,1,0,13,EL-KALA 60367
AGM00060400-88-2,0,1,0,230,CAP CARBON ALGERIA 06040
AGM00060401-88-3,0,1,0,4,BEJAIA-PORT 60401
AGM00060425-88-3,61,1,0,102,AL ASNAM ALGERIA 06042
AGM00060545-88-2,61,1,0,767,LAGHOUAT ALGERIA 06054
AGM00060550-88-2,61,1,0,1311,GERYVILLE ALGERIA 06055
AGU60369-0--88-2,0,1,0,59,ALGIERS-VILLE/UNIVERSITE
AGU60395-0--88-2,61,1,0,222,TIZIOUZOU
AGU60395-1--88-2,61,1,0,942,FORTNATIONAL
AGU60419-0--88-2,61,1,0,660,CONSTANTINE
AGU60445-0--88-2,61,1,0,1081,SETIF
AGU60475-0--88-2,61,1,0,863,TEBESSA
AGU60525-0--88-2,61,1,0,125,BISKRA
AGU60590-0--88-2,61,1,0,394,EL-GOLEA
AGUALG00603-88-1,61,1,0,195,SKIDDACAPBOUGAROUNI
AGUALG00606-88-1,61,1,0,431,TINDOUF
AGUMAR00602-88-1,61,1,0,1136,OUARZAZATE
AGM00060350-220-2,61,1,0,-999,BOGUS ALGERIAN 60350
AGM00060353-220-1,61,1,0,6,JIJEL-PORT 60353
AGM00060353-220-2,61,1,0,6,JIJEL-PORT 60353
AGM00060353-220-3,61,1,0,6,JIJEL-PORT 60353
AGM00060353-220-4,61,1,0,6,JIJEL-PORT 60353
AGM00060353-220-5,61,1,0,6,JIJEL-PORT 60353
AGM00060353-220-6,61,1,0,6,JIJEL-PORT 60353
AGM00060353-220-7,61,1,0,6,JIJEL-PORT 60353
AGM00060353-220-8,61,1,0,6,JIJEL-PORT 60353
AGM00060357-220-2,0,1,0,156,ANNABA NORTH 60357
AGM00060367-220-1,61,1,0,13,EL-KALA 60367
AGM00060367-220-2,61,1,0,13,EL-KALA 60367
AGM00060369-220-1,0,1,0,12,ALGER-PORT 60369
AGM00060369-220-2,0,1,0,12,ALGER-PORT 60369
AGM00060369-220-3,0,1,0,12,ALGER-PORT 60369
AGM00060369-220-4,0,1,0,12,ALGER-PORT 60369
AGM00060369-220-5,0,1,0,12,ALGER-PORT 60369
AGM00060369-220-6,0,1,0,12,ALGER-PORT 60369
AGM00060369-220-7,0,1,0,12,ALGER-PORT 60369
AGM00060371-220-1,61,1,0,172,OUED KORICHE 60371
AGM00060371-220-2,61,1,0,172,OUED KORICHE 60371
AGM00060371-220-3,61,1,0,172,OUED KORICHE 60371
AGM00060371-220-4,61,1,0,172,OUED KORICHE 60371
AGM00060372-220-1,61,1,0,55,BOUZAREAH 60372
